District,Locality
Boteti,Makalamabedi
Okavango,Gumare
Okavango,Shakawe
Okavango,Etsha 6
Okavango,Etsha 13
Okavango,Ngarange
Okavango,Seronga
Okavango,Beetsha
Okavango,Gudigwa
Okavango,Gunotsoga
Okavango,Eretsha
Okavango,Kauxwi
Okavango,Mbiroba (Xakao)
Okavango,Mogotho
Okavango,Sekondomboro
Okavango,Tubu
Okavango,Habu
Okavango,Nxamasere
Okavango,Mohembo East
Okavango,Mohembo West
Okavango,Ndundu
Okavango,Xaxaba
Okavango,Ditshiping
Okavango,Xakanaxa
North-West,Maun
North-West,Sehithwa
North-West,Toteng
North-West,Kareng
North-West,Tsao
North-West,Nxaraga
North-West,Komana
North-West,Chanoga
North-West,Khwai
North-West,Mababe
North-West,Sankuyo
North-West,Phuduhudu (to Boteti)
North-West,Pandamatenga (to Chobe)
Chobe,Kasane
Chobe,Kazungula
Chobe,Pandamatenga
Chobe,Kachikau
Chobe,Kavimba
Chobe,Parakarungu
Chobe,Satau
Chobe,Mabele
Chobe,Lesoma
Ghanzi,Ghanzi
Ghanzi,D'Kar
Ghanzi,Kuke
Ghanzi,Qabo
Ghanzi,Grootlaagte
Ghanzi,New Xade
Ghanzi,East Hanahai
Ghanzi,West Hanahai
Ghanzi,Kacgae
Ghanzi,Bere
Ghanzi,Metsiamanong (CKGR)
Ghanzi,Molapo (CKGR)
Ghanzi,Mothomelo (CKGR)
Ghanzi,Gugamma (CKGR)
Charleshill,Charles Hill
Charleshill,Ncojane
Charleshill,Karakubis
Charleshill,Kole
Charleshill,Makunda
Charleshill,New Xanagas
Charleshill,Xanagas
Charleshill,Kalkfontein
Charleshill,Chobokwane
Charleshill,West Hanahai
Charleshill,Metsimantle
Kgalagadi North,Hukuntsi
Kgalagadi North,Lehututu
Kgalagadi North,Tshane
Kgalagadi North,Lokgwabe
Kgalagadi North,Monong
Kgalagadi North,Khawa
Kgalagadi South,Tsabong
Kgalagadi South,Werda
Kgalagadi South,Makopong
Kgalagadi South,Middlepits
Kgalagadi South,Bokspits
Kgalagadi South,Vaalhoek
Kgalagadi South,Struizendam
Kgalagadi South,Khuis
Kgalagadi South,Omaweneno
Kgalagadi South,Gachibana
Kgalagadi South,Ukwi
